Namo;2;40;10;5;60
Lisa;7;25;16;30;45
Ali;4;6;12;21;61
Sara;6;32;8;15;40
Alex;4;35;11;18;52
Emma;9;29;14;25;48
Ryan;1;33;9;28;51
Maya;8;27;13;21;46
Adam;10;31;7;24;42
Sophia;5;30;10;23;50
Ethan;2;40;10;5;60
Mia;7;25;15;30;45
Noah;3;28;12;20;55
Ava;6;32;8;15;40
Liam;4;35;11;18;52
Isabella;9;29;14;25;48
Benjamin;1;33;9;28;51
Charlotte;8;27;13;21;46
Oliver;10;31;7;24;42
Amelia;5;30;10;23;50
Henry;2;40;10;5;60
Harper;7;25;15;30;45
Elijah;3;28;12;20;55
Evelyn;6;32;8;15;40
Michael;4;35;11;18;52
Abigail;10;8;14;26;56
Alexander;1;33;9;28;51
Scarlett;20;27;13;21;46
Daniel;20;31;7;24;42
Sofia;5;30;10;23;50
William;2;40;10;5;60
Victoria;7;25;15;30;45
James;3;28;12;20;55
Grace;6;32;8;15;40
Matthew;4;35;11;18;52
Luna;9;29;14;25;48
Jackson;1;33;9;28;51
Zoey;8;27;13;21;46
Sebastian;10;31;7;24;42
Penelope;5;30;10;23;50
Joseph;2;20;10;5;60
Lily;7;20;15;30;45
Gabriel;3;28;12;20;55
Avery;6;32;8;15;40
Samuel;4;35;11;18;52
Chloe;9;29;14;25;48
David;1;33;9;28;51
Emily;8;27;13;21;46
Carter;10;31;7;24;42
Grace;5;30;10;23;50
aymen;0;2147483647;1;0;0
